Data;1392 - Produção de derivados de petróleo - Gás natural - Barris/dia (milhões)
01/1979;0,031
02/1979;0,031
03/1979;0,030
04/1979;0,030
05/1979;0,035
06/1979;0,032
07/1979;0,032
08/1979;0,033
09/1979;0,034
10/1979;0,032
11/1979;0,036
12/1979;0,037
01/1980;0,036
02/1980;0,038
03/1980;0,037
04/1980;0,038
05/1980;0,037
06/1980;0,040
07/1980;0,039
08/1980;0,041
09/1980;0,038
10/1980;0,038
11/1980;0,039
12/1980;0,040
01/1981;0,040
02/1981;0,043
03/1981;0,042
04/1981;0,040
05/1981;0,042
06/1981;0,039
07/1981;0,041
08/1981;0,043
09/1981;0,043
10/1981;0,046
11/1981;0,047
12/1981;0,046
01/1982;0,048
02/1982;0,048
03/1982;0,048
04/1982;0,048
05/1982;0,049
06/1982;0,048
07/1982;0,051
08/1982;0,053
09/1982;0,055
10/1982;0,058
11/1982;0,057
12/1982;0,061
01/1983;0,064
02/1983;0,067
03/1983;0,070
04/1983;0,070
05/1983;0,065
06/1983;0,066
07/1983;0,071
08/1983;0,069
09/1983;0,069
10/1983;0,070
11/1983;0,073
12/1983;0,076
01/1984;0,079
02/1984;0,079
03/1984;0,079
04/1984;0,082
05/1984;0,082
06/1984;0,084
07/1984;0,085
08/1984;0,083
09/1984;0,087
10/1984;0,089
11/1984;0,091
12/1984;0,091
01/1985;0,092
02/1985;0,092
03/1985;0,094
04/1985;0,092
05/1985;0,096
06/1985;0,095
07/1985;0,095
08/1985;0,094
09/1985;0,093
10/1985;0,096
11/1985;0,093
12/1985;0,096
01/1986;0,098
02/1986;0,100
03/1986;0,095
04/1986;0,097
05/1986;0,096
06/1986;0,101
07/1986;0,101
08/1986;0,098
09/1986;0,095
10/1986;0,098
11/1986;0,097
12/1986;0,100
01/1987;0,100
02/1987;0,100
03/1987;0,101
04/1987;0,101
05/1987;0,099
06/1987;0,101
07/1987;0,104
08/1987;0,096
09/1987;0,105
10/1987;0,097
11/1987;0,106
12/1987;0,101
01/1988;0,071
02/1988;0,106
03/1988;0,106
04/1988;0,068
05/1988;0,095
06/1988;0,101
07/1988;0,098
08/1988;0,098
09/1988;0,100
10/1988;0,102
11/1988;0,087
12/1988;0,099
01/1989;0,101
02/1989;0,100
03/1989;0,100
04/1989;0,103
05/1989;0,104
06/1989;0,104
07/1989;0,108
08/1989;0,107
09/1989;0,109
10/1989;0,108
11/1989;0,104
12/1989;0,109
01/1990;0,104
02/1990;0,111
03/1990;0,111
04/1990;0,103
05/1990;0,098
06/1990;0,105
07/1990;0,108
08/1990;0,110
09/1990;0,112
10/1990;0,110
11/1990;0,115
12/1990;0,112
01/1991;0,115
02/1991;0,114
03/1991;0,106
04/1991;0,118
05/1991;0,117
06/1991;0,121
07/1991;0,118
08/1991;0,120
09/1991;0,087
10/1991;0,117
11/1991;0,116
12/1991;0,114
01/1992;0,117
02/1992;0,111
03/1992;0,117
04/1992;0,120
05/1992;0,116
06/1992;0,119
07/1992;0,122
08/1992;0,121
09/1992;0,124
10/1992;0,124
11/1992;0,125
12/1992;0,122
01/1993;0,123
02/1993;0,125
03/1993;0,125
04/1993;0,123
05/1993;0,125
06/1993;0,124
07/1993;0,124
08/1993;0,128
09/1993;0,131
10/1993;0,132
11/1993;0,129
12/1993;0,133
01/1994;0,134
02/1994;0,133
03/1994;0,133
04/1994;0,130
05/1994;0,128
06/1994;0,132
07/1994;0,132
08/1994;0,135
09/1994;0,127
10/1994;0,132
